Site,Code,Ucode,Type,StateCode,Tstart,Tstop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEname,Ename,Uname
FEC,KT-406,-,LP,,21-Sep-70,21-Sep-70,FEC   KT-406,"KT No. 406, Luna-16 Site, Mare Fecunditatis, Langrenus A2",Luna,56.3,-0.68,0.01,NPOL,-,-,-
FMR,LM8-DS,-,LP,,06-Feb-71,06-Feb-71,FMR   LM8-DS,"LM 8 Descent Stage, Fra Mauro Base, Fra Mauro, Montes Riphaeus B1",Luna,-19.27,-3.67,0.01,NASA,-,-,-
FTB,MCG,-,LP,,1959,*,FTB   MCG,"McGregor Range, Fort Bliss, New Mexico (White Sands)",-,-106.1524,32.0736,0.01,USA,-,-,-
FTB,ORO,-,LP,,1960,1962,WS    ORO,"Orogrande Range Camp, White Sands, NM",-,-106.1486,32.404,0.001,USA,-,-,-
FW,LC96,-,LP,,17-Nov-97,*,FW    LC96,"Launch Complex 96, Fort Wingate, New Mexico",-,-108.5995,35.4487,0.0001,USA,-,-,-
FWAK,T1,-,LP,,1959,1971,FWAK Site Tare 1,"Site Tare LS1, Nike Battery A, Ft Wainwright, Alaska","Fairbanks, Alaska",-147.2141,64.7567,0.0001,USA,-,-,-
FWAK,T2,-,LP,,1959,1971,FWAK Site Tare 2,"Site Tare LS2, Nike Battery A, Ft Wainwright, Alaska","Fairbanks, Alaska",-147.2166,64.7567,0.0001,USA,-,-,-
FWAK,P,-,LP,,1959,1971,FWAK Site Peter 1,"Site Peter LS1, Nike Battery B, Ft Wainwright, Alaska","Fairbanks, Alaska",-146.7494,64.6734,0.0001,USA,-,-,-
FWAK,P2,-,LP,,1959,1971,FWAK Site Peter 2,"Site Peter LS2, Nike Battery B, Ft Wainwright, Alaska","Fairbanks, Alaska",-146.7477,64.6726,0.0001,USA,-,-,-
FWAK,M,-,LP,,1959,1971,FWAK Site Mike,"Site Mike, Nike Battery C, Ft Wainwright, Alaska","Fairbanks, Alaska",-146.7281,64.5864,0.0001,USA,-,-,-
FWAK,J1,-,LP,,1959,1971,FWAK Site Jig 1,"Site Jig LS1, Nike Battery D, Ft Wainwright, Alaska","Fairbanks, Alaska",-146.964,64.5259,0.0001,USA,-,-,-
FWAK,J2,-,LP,,1959,1971,FWAK Site Jig 2,"Site Jig LS2, Nike Battery D, Ft Wainwright, Alaska","Fairbanks, Alaska",-146.9615,64.5256,0.0001,USA,-,-,-
FWAK,L1,-,LP,,1959,1971,FWAK Site Love 1,"Site Love LS1, Nike Battery E, Ft Wainwright, Alaska","Fairbanks, Alaska",-147.8815,64.9834,0.0001,USA,-,-,-
FWAK,L2,-,LP,,1959,1971,FWAK Site Love 2,"Site Love LS1, Nike Battery E, Ft Wainwright, Alaska","Fairbanks, Alaska",-147.8841,64.9834,0.0001,USA,-,-,-
FXM,RAG,-,LP,,15-Mar-71,22-Mar-71,FXM   -,Thiokol RAG launcher at FOX-MAIN DEW,-,-81.2,68.7,0.2,NASA,-,-,-
GANC,RW03/21,-,LP,,Apr-97,Apr-97,GAN   RW03/21,"RW03/21L and RW03/21R, Base Aerea de Gando, Gran Canaria",-,-15.32,27.92,0.02,OSC,-,-,-
GIK-1,Yu-1,,LP,,1994,-,GNIIP Yu-1,"ShPU Ploshch. Yuzhnaya-1, , Plesetsk, Rossiya",-,-,-,,RVSN,,,-
GIK-1,Yu-2,,LP,,1994,-,GNIIP Yu-2,"ShPU Ploshch. Yuzhnaya-2  , Plesetsk, Rossiya",-,-,-,,RVSN,,,-
GIK-1,LC5,,LP,,2014,*,GIK-1 LC5,"Ploshchadka  5, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.5,RVSN,-,-,-
GIK-1,LC16/2,,LP,,1960,*,GIK-1 LC16/2,"Ploshchadka 16/2, GIK-1, Plesetsk, Rossiya",-,40.68,62.95,0.05,RVSN,-,-,-
GIK-1,LC24/8,,LP,,2014,*,GIK-1 LC24,"Ploshchadka 24, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.5,RVSN,-,-,-
GIK-1,LC25-1B/10,,LP,,2014,*,GIK-1 LC25,"Ploshchadka 25, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.5,RVSN,-,-,-
GIK-1,LC25-1B/11,,LP,,2014,*,GIK-1 LC25,"Ploshchadka 25, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.5,RVSN,-,-,-
GIK-1,LC31/ShPU-12,,LP,,1967,*,GIK-1 LC31/12,"Ploshchadka 32/ShPU-12, GIK-1, Plesetsk, Rossiya",-,40.8,62.9,0.5,RVSN,-,-,-
GIK-1,LC32,,LP,,1977,*,GIK-1 LC32/1,"Ploshchadka 32/1, GIK-1, Plesetsk, Rossiya",-,40.8,62.915,0.08,RVSN,-,-,-
GIK-1,LC32/1,,LP,,1977,*,GIK-1 LC32/1,"Ploshchadka 32/1, GIK-1, Plesetsk, Rossiya",-,40.8,62.915,0.08,RVSN,-,-,-
GIK-1,LC32/2,,LP,,1977,*,GIK-1 LC32/2,"Ploshchadka 32/2, GIK-1, Plesetsk, Rossiya",-,40.801,62.915,0.08,RVSN,-,-,-
GIK-1,LC35,,LP,,2014,*,GIK-1 LC35,"Ploshchadka 35, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.01,RVSN,-,-,-
GIK-1,LC35/1,,LP,,2014,*,GIK-1 LC35,"Ploshchadka 35, GIK-1, Plesetsk, Rossiya",-,40.58,62.92,0.01,RVSN,-,-,-
GIK-1,LC41/1,,LP,,1960,*,GIK-1 LC41/1,"Ploshchadka 41/1, GIK-1, Plesetsk, Rossiya",-,40.513,62.93,0.05,RVSN,-,-,-
GIK-1,LC43/3,,LP,,1960,*,GIK-1 LC43/3,"Ploshchadka 43/3, GIK-1, Plesetsk, Rossiya",-,40.45,62.93,0.02,RVSN,-,-,-
GIK-1,LC43/4,,LP,,1960,*,GIK-1 LC43/4,"Ploshchadka 43/4 'Sankt-Peterburg', GIK-1, Plesetsk, Rossiya",-,40.47,62.93,0.02,RVSN,-,-,-
GIK-1,LC131,,LP,,1967,*,GIK-1 LC131,"Ploshchadka 131, GIK-1, Plesetsk, Rossiya",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC131/1,,LP,,1967,*,GIK-1 LC131,"Ploshchadka 131, GIK-1, Plesetsk, Rossiya",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC132,,LP,,1967,*,GIK-1 LC132,"Ploshchadka 132 PU No 1 or 2, GIK-1, Plesetsk, Rossiya",-,40.887,62.893,0.1,RVSN,-,-,-
GIK-1,LC132/1,,LP,,1967,*,GIK-1 LC132/1,"Ploshchadka 132/1, GIK-1, Plesetsk, Rossiya",-,40.887,62.893,0.1,RVSN,-,-,-
GIK-1,LC132/2,,LP,,1967,*,GIK-1 LC132/2,"Ploshchadka 132/1, GIK-1, Plesetsk, Rossiya",-,40.888,62.893,0.1,RVSN,-,-,-
GIK-1,LC133,,LP,,1967,*,GIK-1 LC133,"PL 133 PU No. 1 or 3, GIK-1",-,40.867,62.895,0.1,RVSN,-,-,-
GIK-1,LC133/1,,LP,,1967,*,GIK-1 LC133/1,"Ploshchadka 133/1, GIK-1, Plesetsk, Rossiya",-,40.867,62.895,0.1,RVSN,-,-,-
GIK-1,LC133/3,,LP,,1967,*,GIK-1 LC133/3,"Ploshchadka 133/3, GIK-1, Plesetsk, Rossiya",-,40.868,62.895,0.1,RVSN,-,-,-
GIK-1,LC157,,LP,,1967,*,NIIP-53 LC157,"LC157, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC158,,LP,,1967,*,NIIP-53 LC158,"LC158, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC161,,LP,,1967,*,NIIP-53 LC161,"LC161 PU No. 1, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC161/1,,LP,,1967,*,NIIP-53 LC161,"LC161 PU No. 1, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC161/1-1,,LP,,1967,*,NIIP-53 LC161,"LC161 PU No. 1, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC161/1-2,,LP,,1967,*,NIIP-53 LC161,"LC161 PU No. 1, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC161/ShPU-2,,LP,,1967,*,NIIP-53 LC161,"LC161 ShPU No. 2, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163,,LP,,1967,*,NIIP-53 LC163,"LC163 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/2,,LP,,1967,*,NIIP-53 LC163,"LC163/2 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/2/2,,LP,,1967,*,NIIP-53 LC163,"LC163/2 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/4,,LP,,1967,*,NIIP-53 LC163,"LC163/4 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/1/18,,LP,,1967,*,NIIP-53 LC163,"LC163 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/18,,LP,,1967,*,NIIP-53 LC163,"LC163 , 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC163/ShPU-2,,LP,,1967,*,NIIP-53 LC163,"LC163 ShPU No. 2, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC165/3-1,,LP,,1967,*,NIIP-53 LC165,"LC165/3-1, 53 NIIP, Ples",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC167,,LP,,1967,*,NIIP-53 LC167,"LC167, 53 NIIP, Plesetsk",-,40.8,62.9,0.2,RVSN,-,-,-
GIK-1,LC169,,LP,,1967,*,NIIP-53 LC169,"LC169, 53 NIIP, Plesetsk",-,40.8,62.9,1,RVSN,-,-,-
GIK-1,LC172/2,,LP,,1967,*,NIIP-53 LC172/2,"LC172/2 53 NIIP, Plesetsk",-,40.8,62.9,1,RVSN,-,-,-
GIK-1,PU11,,LP,,1960,*,GIK-1 PU11,"PU 11, NIIP-53, Plesetsk, Rossiya",-,40.5,62.9,0.1,RVSN,-,-,-
GIK-2,LC5,-,LP,,1990,*,GIK-2 LC5,"Ploshchadka 5, GIK-2, Svobodniy",-,128,51.7,0.5,RVSN,-,-,-
VOST,PU1S,,LP,,2016,*,Vostochniy PU1S,"PU1S (371SK14) Soyuz pad, Vostochniy, Svobodniy, Amurskaya Oblast', Rossiya",-,128.3322,51.8769,0.001,RVSN,Svobodniy,-,-
GIK-5,PU31,,LP,,1956,*,GIK-5 PU31,"PU31 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63,46,0.04,RVSN,-,-,-
GIK-5,PU32,,LP,,1956,*,GIK-5 PU32,"PU32 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63,46,0.04,RVSN,-,-,-
GIK-5,PU33,,LP,,1956,*,GIK-5 PU33,"PU33 (Ploshchadka unknown), GIK-5, Baykonur, Kazakstan",-,63,46,0.04,RVSN,-,-,-
GIK-5,LC1,,LP,,1957,*,GIK-5 LC1,"Ploshchadka 1 PU 17P32-5, GIK-5, Baykonur, Kazakstan",-,63.35,45.912,0.015,RVSN,-,-,-
GIK-5,LC1/LC31,,LP,,1957,*,GIK-5 LC1/LC31,"Ploshchadka 1 or 31, PU 5 or 6, GIK-5, Baykonur, Kazakstan",-,63.35,45.912,0.1,RVSN,-,-,-
GIK-5,LC31,,LP,,1957,*,GIK-5 LC31,"Ploshchadka 31 PU 17P32-6, GIK-5, Baykonur, Kazakstan",-,63.556,45.982,0.015,RVSN,-,-,-
GIK-5,LC41,,LP,,1964,1968,GIK-5 LC41,"Ploshchadka 41, GIK-5, Baykonur, Kazakstan",-,63.642,45.958,0.02,RVSN,-,-,-
GIK-5,LC41/3,,LP,,1964,1968,GIK-5 LC41/3,"PU3, Ploshchadka 41L, GIK-5, Baykonur, Kazakstan",-,63.642,45.958,0.02,RVSN,-,-,-
GIK-5,LC41/4,,LP,,1964,1968,GIK-5 LC41/4,"PU4, Ploshchadka 41P, GIK-5, Baykonur, Kazakstan",-,63.643,45.958,0.02,RVSN,-,-,-
GIK-5,LC41/15,,LP,,1964,1968,GIK-5 LC41/15,"PU15, Ploshchadka 41, GIK-5, Baykonur, Kazakstan",-,63.643,45.955,0.02,RVSN,-,-,-
GIK-5,LC44,,LP,,1977,*,GIK-5 LC44,"Ploshchadka 44, GIK-5, Baykonur, Kazakstan",-,63.622,45.926,0.5,RVSN,-,-,-
GIK-5,LC45/1,,LP,,1977,*,GIK-5 LC45/1,"PU1, Ploshchadka 45L, GIK-5, Baykonur, Kazakstan",-,63.622,45.926,0.02,RVSN,-,-,-
GIK-5,LC45/2,,LP,,1977,*,GIK-5 LC45/2,"PU2, Ploshchadka 45P, GIK-5, Baykonur, Kazakstan",-,63.627,45.93,0.02,RVSN,-,-,-
GIK-5,LC51,,LP,,1961,1962?,GIK-5 LC51,"Ploshchadka 51, GIK-5, Baykonur, Kazakstan",-,63.347,45.916,0.015,RVSN,-,-,-
GIK-5,LC51/5,,LP,,1961,1962?,GIK-5 LC51,"Ploshchadka 51, GIK-5, Baykonur, Kazakstan",-,63.347,45.916,0.015,RVSN,-,-,-
GIK-5,LC60/6,,LP,,1962,1966?,GIK-5 LC60/6,"PU6, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC60-1A/6,,LP,,1962,1966?,GIK-5 LC60/8,"PU8, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC60/7,,LP,,1962,1966?,GIK-5 LC60/7,"PU7, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC60-1B/7,,LP,,1962,1966?,GIK-5 LC60/8,"PU8, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC60/8,,LP,,1962,1966?,GIK-5 LC60/8,"PU8, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC60-1B/8,,LP,,1962,1966?,GIK-5 LC60/8,"PU8, Ploshchadka 60, GIK-5, Baykonur, Kazakstan",-,63.88,46.002,0.02,RVSN,-,-,-
GIK-5,LC67/21,,LP,,1965,1968?,GIK-5 LC67/21,"PU 21, Ploshchadka 67L, GIK-5, Baykonur, Kazakstan",-,63.683,45.972,0.02,RVSN,-,-,-
GIK-5,LC67/22,,LP,,1965,1968?,GIK-5 LC67/22,"PU 22, Ploshchadka 67P, GIK-5, Baykonur, Kazakstan",-,63.683,45.972,0.02,RVSN,-,-,-
GIK-5,LC69L,,LP,,1965,1968?,GIK-5 LC69L,"Ploshchadka 69L, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC69P,,LP,,1965,1968?,GIK-5 LC69P,"Ploshchadka 69P, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC70,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.102,46.029,0.015,RVSN,-,-,-
GIK-5,LC70/9,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.102,46.029,0.015,RVSN,-,-,-
GIK-5,LC70/10,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.102,46.029,0.015,RVSN,-,-,-
GIK-5,LC70/11,,LP,,1961,1965?,GIK-5 LC70,"Ploshchadka 70, GIK-5, Baykonur, Kazakstan",-,63.102,46.029,0.015,RVSN,-,-,-
GIK-5,LC75,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.207,45.956,0.015,RVSN,-,-,-
GIK-5,LC75/12,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.207,45.956,0.015,RVSN,-,-,-
GIK-5,LC75/13,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.207,45.956,0.015,RVSN,-,-,-
GIK-5,LC75/14,,LP,,1961,1965?,GIK-5 LC75,"Ploshchadka 75, GIK-5, Baykonur, Kazakstan",-,63.207,45.956,0.015,RVSN,-,-,-
GIK-5,LC80/17,,LP,,1965,1970s?,GIK-5 LC80/17,"Ploshchadka 80, GIK-5, Baykonur, Kazakstan",-,64,46,0.04,RVSN,-,-,-
GIK-5,LC80/18,,LP,,1965,1980s?,GIK-5 LC80/18,"PU18, Ploshchadka 80 (later 140), GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC81/23,,LP,,1965,*,GIK-5 LC81/23,"PU23, Ploshchadka 81L, GIK-5, Baykonur, Kazakstan",-,62.983,46.059,0.015,RVSN,-,-,-
GIK-5,LC81/24,,LP,,1965,*,GIK-5 LC81/24,"PU24, Ploshchadka 81P, GIK-5, Baykonur, Kazakstan",-,62.99,46.067,0.015,RVSN,-,-,-
GIK-5,LC90,,LP,,1965,*,GIK-5 LC90,"PU19 or PU20, PL 90, GIK-5, Baykonur, Kazakstan",-,62.935,46.081,0.015,RVSN,-,-,-
GIK-5,LC90/19,,LP,,1965,*,GIK-5 LC90/19,"PU19, Ploshchadka 90L, GIK-5, Baykonur, Kazakstan",-,62.935,46.081,0.015,RVSN,-,-,-
GIK-5,LC90/20,,LP,,1965,*,GIK-5 LC90/20,"PU20, Ploshchadka 90P, GIK-5, Baykonur, Kazakstan",-,62.936,46.081,0.015,RVSN,-,-,-
GIK-5,LC101,,LP,,1986,1980s?,GIK-5 LC101,"Ploshchadka 101, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC101/93,,LP,,1986,1980s?,GIK-5 LC101,"Ploshchadka 101, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC102,,LP,,1965,1980s?,GIK-5 LC102,"Ploshchadka 102, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC102/32,,LP,,1965,1980s?,GIK-5 LC102,"Ploshchadka 102, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC103,,LP,,1965,1980s?,GIK-5 LC103,"Ploshchadka 103, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC103/94,,LP,,1965,1980s?,GIK-5 LC103,"Ploshchadka 103, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC104,,LP,,1965,1980s?,GIK-5 LC104,"Ploshchadka 104, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC104/92,,LP,,1965,1980s?,GIK-5 LC104,"Ploshchadka 104, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC105,,LP,,1965,1980s?,GIK-5 LC105,"Ploshchadka 105, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC105/99,,LP,,1965,1980s?,GIK-5 LC105,"Ploshchadka 105, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC106,,LP,,1965,1980s?,GIK-5 LC106,"Ploshchadka 106, GIK-5, Baykonur, Kazakstan",-,63.441,45.944,0.02,RVSN,-,-,-
GIK-5,LC106/100,,LP,,1965,1980s?,GIK-5 LC106,"Ploshchadka 106, GIK-5, Baykonur, Kazakstan",-,63.441,45.944,0.02,RVSN,-,-,-
GIK-5,LC107,,LP,,1965,1980s?,GIK-5 LC107,"Ploshchadka 107, GIK-5, Baykonur, Kazakstan",-,63.81,46.046,0.02,RVSN,-,-,-
GIK-5,LC108,,LP,,1965,*,GIK-5 LC108,"Ploshchadka 108, GIK-5, Baykonur, Kazakstan",-,63.815,46.046,0.02,RVSN,-,-,-
GIK-5,LC109,,LP,,1965,*,GIK-5 LC109,"Ploshchadka 109, GIK-5, Baykonur, Kazakstan",-,63.442,45.944,0.02,RVSN,-,-,-
GIK-5,LC109/95,,LP,,1965,*,GIK-5 LC109/95,"PU95, Ploshchadka 109, GIK-5, Baykonur, Kazakstan",-,63.442,45.944,0.02,RVSN,-,-,-
GIK-5,LC110L,,LP,,1969,*,GIK-5 LC110L,"Ploshchadka 110/37, GIK-5, Baykonur, Kazakstan",-,63.309,45.955,0.015,RVSN,-,-,-
GIK-5,LC110R,,LP,,1969,*,GIK-5 LC110R,"Ploshchadka 110/38, GIK-5, Baykonur, Kazakstan",-,63.314,45.95,0.015,RVSN,-,-,-
GIK-5,LC130,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC130/26,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC130/27,,LP,,1965,1980s?,GIK-5 LC130,"Ploshchadka 130, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC131,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.968,46.069,0.2,RVSN,-,-,-
GIK-5,LC131/28,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.968,46.069,0.2,RVSN,-,-,-
GIK-5,LC131/29,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.968,46.069,0.2,RVSN,-,-,-
GIK-5,LC131N/57,,LP,,1965,*,GIK-5 LC131,"Ploshchadka 131, GIK-5, Baykonur, Kazakstan",-,62.968,46.069,0.2,RVSN,-,-,-
GIK-5,LC132,,LP,,1965,1980s?,GIK-5 LC132,"Ploshchadka 132, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC132/30,,LP,,1965,1980s?,GIK-5 LC132,"ShPU-30,Ploshchadka 132, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC133,,LP,,1965,1980s?,GIK-5 LC133,"Ploshchadka 133, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC140/18,LC80/18,LP,,1965,1980s?,GIK-5 LC140/18,"PU18, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC140/33,,LP,,1965,1980s?,GIK-5 LC140/18,"PU33, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC140/96,,LP,,1965,1980s?,GIK-5 LC140/96,"PU96, Ploshchadka 140, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC141,,LP,,1965,1980s?,GIK-5 LC141,"Ploshchadka 141, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC141/31,,LP,,1965,1980s?,GIK-5 LC141,"Ploshchadka 141, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC142/34,,LP,,1965,1980s?,GIK-5 LC142/34,"Ploshchadka 142, GIK-5, Baykonur, Kazakstan (Also PL142-1a)",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC142-1B/35,,LP,,1965,1980s?,GIK-5 LC142/34,"Ploshchadka 142, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC145/75,,LP,,1965,1980s?,GIK-5 LC145/75,"Ploshchadka 145, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC160,,LP,,1965,1980s?,GIK-5 LC160,"Ploshchadka 160, GIK-5, Baykonur, Kazakstan",-,62.946,46.073,0.015,RVSN,-,-,-
GIK-5,LC161/35,,LP,,1965,1980s?,GIK-5 LC161/35,"Ploshchadka 161, GIK-5, Baykonur, Kazakstan (Also PL142-16)",-,63.077,46.038,0.03,RVSN,-,-,-
GIK-5,LC162/36,,LP,,1965,1980s?,GIK-5 LC162/36,"Ploshchadka 162, GIK-5, Baykonur, Kazakstan (Also PL142-1v)",-,63.079,46.038,0.03,RVSN,-,-,-
GIK-5,LC163,,LP,,1965,1980s?,GIK-5 LC163,"Ploshchadka 163, GIK-5, Baykonur, Kazakstan",-,63.172,46.002,0.015,RVSN,-,-,-
GIK-5,LC164,,LP,,1965,1980s?,GIK-5 LC164,"Ploshchadka 164, GIK-5, Baykonur, Kazakstan",-,63.014,45.957,0.03,RVSN,-,-,-
GIK-5,LC165,,LP,,1965,1980s?,GIK-5 LC165,"Ploshchadka 165, GIK-5, Baykonur, Kazakstan",-,62.912,45.993,0.03,RVSN,-,-,-
GIK-5,LC170,,LP,,1965,*,GIK-5 LC170,"Ploshchadka 170, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC170/43,,LP,,1965,*,GIK-5 LC170,"Ploshchadka 170, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC171,,LP,,1965,*,GIK-5 LC171,"Ploshchadka 171, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC171/48,,LP,,1965,*,GIK-5 LC171,"Ploshchadka 171, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC172,,LP,,1965,*,GIK-5 LC172,"Ploshchadka 172, GIK-5, Baykonur, Kazakstan",-,63.092,46.065,0.015,RVSN,-,-,-
GIK-5,LC172/49,,LP,,1965,*,GIK-5 LC172,"Ploshchadka 172, GIK-5, Baykonur, Kazakstan",-,63.092,46.065,0.015,RVSN,-,-,-
GIK-5,LC173,,LP,,1965,*,GIK-5 LC173,"Ploshchadka 173, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC173/50,,LP,,1965,*,GIK-5 LC173,"Ploshchadka 173, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC174,,LP,,1965,*,GIK-5 LC174,"Ploshchadka 174, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC174/44,,LP,,1965,*,GIK-5 LC174,"Ploshchadka 174, GIK-5, Baykonur, Kazakstan",-,63,46,0.2,RVSN,-,-,-
GIK-5,LC175,,LP,,1965,*,GIK-5 LC175,"Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.98,46.045,0.015,RVSN,-,-,-
GIK-5,LC175/45,,LP,,1965,*,GIK-5 LC175/2,"PU45, Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.98,46.045,0.015,RVSN,-,-,-
GIK-5,LC175/58,,LP,,1965,*,GIK-5 LC175/2,"PU58 (1?)Ploshchadka 175, GIK-5, Baykonur, Kazakstan",-,62.98,46.045,0.015,RVSN,-,-,-
